Crop,Season
sugarcane,Winter     
sunflower,Kharif     
sunflower,Rabi       
sunflower,Summer     
sunflower,Whole Year 
sunflower,Winter     
sweet potato,Autumn     
sweet potato,Kharif     
sweet potato,Rabi       
sweet potato,Whole Year 
sweet potato,Winter     
tapioca,Autumn     
tapioca,Kharif     
tapioca,Rabi       
tapioca,Whole Year 
tea,Kharif     
tea,Whole Year 
tobacco,Kharif     
tobacco,Rabi       
tobacco,Summer     
tobacco,Whole Year 
tomato,Kharif     
tomato,Rabi       
tomato,Whole Year 
total foodgrain,Kharif     
total foodgrain,Rabi       
total foodgrain,Summer     
total foodgrain,Whole Year 
turmeric,Autumn     
turmeric,Kharif     
turmeric,Rabi       
turmeric,Summer     
turmeric,Whole Year 
turmeric,Winter     
turnip,Whole Year 
urad,Autumn     
urad,Kharif     
urad,Rabi       
urad,Summer     
urad,Whole Year 
urad,Winter     
varagu,Kharif     
varagu,Rabi       
water melon,Whole Year 
wheat,Kharif     
wheat,Rabi       
wheat,Summer     
wheat,Whole Year 
wheat,Winter     
yam,Whole Year 
other fibres,Whole Year 
other misc. pulses,Kharif     
other misc. pulses,Rabi       
other oilseeds,Kharif     
other oilseeds,Rabi       
other oilseeds,Whole Year 
pigeonpeas,Kharif
